Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
adjacent_overlap_2_adv_sent_div_seg,-0.11606472300577686,0.1437195512644102,0.02138939677127049,Significant (higher in literal) but small effect
adjacent_overlap_binary_2_adv_sent,-0.12740367750951237,0.10616368338480583,0.019660288534435758,Significant (higher in literal) but small effect
adjacent_overlap_pronoun_sent,-0.3606088732910796,2.44129116379567e-05,1.6823297735309827e-05,Significant (higher in literal) but small effect
adjacent_overlap_pronoun_sent_div_seg,-0.10188610244305807,0.21934800310926564,0.07120398489514157,Not significant
adjacent_overlap_binary_pronoun_sent,-0.12761477828419926,0.12248881251833517,0.04861715405719583,Significant (higher in literal) but small effect
adjacent_overlap_2_pronoun_sent,-0.24348484452934516,0.003927568013427221,0.0015680932484127077,Significant (higher in literal) but small effect
adjacent_overlap_2_pronoun_sent_div_seg,-0.00441695778564145,0.9567534492846579,0.3986345156133557,Not significant
adjacent_overlap_binary_2_pronoun_sent,-0.01648604600116724,0.8369580045380913,0.3700885753584847,Not significant
adjacent_overlap_argument_sent,-0.15350658530610986,0.04135073242635897,0.033543539470522785,Significant (higher in literal) but small effect
adjacent_overlap_argument_sent_div_seg,-0.1107905914217081,0.1735380901375324,0.023414059982341223,Significant (higher in literal) but small effect
adjacent_overlap_binary_argument_sent,-0.13498816491637072,0.0838725366234149,0.5324789923716464,Not significant
adjacent_overlap_2_argument_sent,-0.07363476478916256,0.32731489851536366,0.24875079880998907,Not significant
adjacent_overlap_2_argument_sent_div_seg,0.00015627893994816876,0.9984613815204031,0.4951270101277315,Not significant
adjacent_overlap_binary_2_argument_sent,-0.14286242954607373,0.06896800361788712,0.6099412002177582,Not significant
adjacent_overlap_all_para,-0.2685959823711047,0.0011428289615082235,0.00023116564265276347,Significant (higher in literal) but small effect
adjacent_overlap_all_para_div_seg,-0.020323987405745286,0.8017356960224682,0.9485952276886008,Not significant
adjacent_overlap_binary_all_para,0.010771604431311619,0.8961846548494441,0.004302703873741992,Significant (higher in metaphorical) but small effect
adjacent_overlap_2_all_para,-0.20264806821706965,0.010107550104750613,0.0039990040224254664,Significant (higher in literal) but small effect
adjacent_overlap_2_all_para_div_seg,0.05395197185634951,0.49783538366627933,0.47737506114636996,Not significant
adjacent_overlap_binary_2_all_para,-0.08168060587453072,0.32080476723899165,0.00015371993842531177,Significant (higher in literal) but small effect
adjacent_overlap_cw_para,-0.17741859197206578,0.02425237228030302,0.0011048650592434875,Significant (higher in literal) but small effect
adjacent_overlap_cw_para_div_seg,-0.09918305285920592,0.21313213221096042,0.009961848783816937,Significant (higher in literal) but small effect
adjacent_overlap_binary_cw_para,-0.07584798853026428,0.35814288491928936,0.1422144979341718,Not significant
adjacent_overlap_2_cw_para,-0.15773367782343797,0.042620001340069186,0.004689709878809747,Significant (higher in literal) but small effect
adjacent_overlap_2_cw_para_div_seg,-0.07068133277599323,0.36676238633336555,0.07152195878013919,Not significant
adjacent_overlap_binary_2_cw_para,-0.08495338074023244,0.3020364501714034,0.13432935839182647,Not significant
adjacent_overlap_fw_para,-0.2580292930704853,0.0014028959065301287,0.004007570791254424,Significant (higher in literal) but small effect
adjacent_overlap_fw_para_div_seg,4.515066153780674e-05,0.9995555920518095,0.7775412989964583,Not significant
adjacent_overlap_binary_fw_para,0.13862120700306735,0.08426014251758254,0.015050331879392266,Significant (higher in metaphorical) but small effect
