Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
vmod_iobj_deps_struct,-0.14522035537055955,0.07753762735254152,0.0028519472056274826,Significant (higher in literal) but small effect
nn_iobj_deps_struct,-0.05726692680527694,0.4942474401319379,0.00011148783047027543,Significant (higher in literal) but small effect
rcmod_iobj_deps_struct,0.1645905247739238,0.04580521048013962,0.28433161482530667,Not significant
advmod_iobj_deps_struct,-0.027778263514281476,0.7383458668740213,0.00010806162244702745,Significant (higher in literal) but small effect
conj_and_iobj_deps_struct,-0.15516909082077734,0.06018601935944366,0.0001915334988128137,Significant (higher in literal) but small effect
conj_or_iobj_deps_struct,-0.24535221669826696,0.00316372965908089,9.282397426233204e-05,Significant (higher in literal) but small effect
det_iobj_deps_NN_struct,-0.321466281051411,0.00014510974187676543,1.5517020713627317e-05,Significant (higher in literal) but small effect
amod_iobj_deps_NN_struct,-0.2522755603187141,0.0020127377377592284,1.0530212204771634e-05,Significant (higher in literal) but small effect
prep_iobj_deps_NN_struct,-0.11935578704386282,0.10172493400680499,3.136985997882179e-05,Significant (higher in literal) but small effect
poss_iobj_deps_NN_struct,0.04851465494197638,0.5604927842253706,0.010347737434690677,Significant (higher in metaphorical) but small effect
vmod_iobj_deps_NN_struct,-0.1453686960849022,0.07723476938477347,0.0028519472056274826,Significant (higher in literal) but small effect
nn_iobj_deps_NN_struct,-0.09156081900037191,0.27712032800511455,8.590365596578892e-06,Significant (higher in literal) but small effect
rcmod_iobj_deps_NN_struct,0.1532567047827359,0.06302125190858004,0.28457109960222515,Not significant
advmod_iobj_deps_NN_struct,-0.1656525597430989,0.04603659622019109,2.737577656600386e-05,Significant (higher in literal) but small effect
conj_and_iobj_deps_NN_struct,-0.17609254479104658,0.029595767846319582,0.00014839260809638966,Significant (higher in literal) but small effect
conj_or_iobj_deps_NN_struct,-0.208914981988901,0.011245464826016672,6.458194249413151e-05,Significant (higher in literal) but small effect
cl_av_deps,0.3203678547682106,5.386861009197289e-05,4.213945266782763e-05,Significant (higher in metaphorical) but small effect
cl_ndeps_std_dev,0.13285243411032277,0.10535518400702125,0.10310119029207085,Not significant
acomp_per_cl,-0.1692051352267529,0.027291288588788033,0.02001760063873042,Significant (higher in literal) but small effect
advcl_per_cl,0.13985959494145322,0.07243740017798281,0.11255890492121322,Not significant
agent_per_cl,-0.030868081119895495,0.6938009803181937,0.06870169787328545,Not significant
cc_per_cl,0.18450654000206218,0.02756394779594891,0.09905546099081151,Not significant
ccomp_per_cl,-0.09500761470902744,0.22443140759256752,0.09629626403822163,Not significant
conj_per_cl,0.09575825520036238,0.24508262432207445,0.9292614000143329,Not significant
csubj_per_cl,0.023233543235738525,0.7886241917634278,0.9256248166059318,Not significant
csubjpass_per_cl,0.03780956091654231,0.6459623769352174,7.553443224640471e-05,Significant (higher in metaphorical) but small effect
dep_per_cl,0.1544743646529239,0.05113884680307211,0.22314896805958317,Not significant
discourse_per_cl,-0.022430116121085128,0.7747078882548954,0.0024227099032964852,Significant (higher in literal) but small effect
dobj_per_cl,-0.04077210111848722,0.6142748695287197,0.44454678872276576,Not significant
expl_per_cl,-0.027183050396906334,0.7436474617760422,0.09562257795202377,Not significant
iobj_per_cl,0.11220055980822091,0.17149222406992912,0.9553170105130971,Not significant
mark_per_cl,-0.13629999333833467,0.09691414562733602,0.08161505211752905,Not significant
ncomp_per_cl,0.16168538946208488,0.02836464636693647,0.026007169570709636,Significant (higher in metaphorical) but small effect
neg_per_cl,-0.00324251732571573,0.9686835086442229,0.6095579653050025,Not significant
nsubj_per_cl,0.3830507415674532,1.449412475709081e-06,1.5271975805482184e-06,Significant (higher in metaphorical) but small effect
nsubjpass_per_cl,-0.38996747437042356,1.2475011233002277e-06,1.5734469408982685e-07,Significant (higher in literal) but small effect
parataxis_per_cl,0.12402688456138566,0.13564077504167332,0.38253929648595597,Not significant
pcomp_per_cl,-0.17769494186153212,0.03387408300236997,1.0765934689099492e-07,Significant (higher in literal) but small effect
prep_per_cl,0.08408358323685843,0.281209549344321,0.3335118231649552,Not significant
prepc_per_cl,-0.115686122438456,0.16043159422370615,0.03712960707164589,Significant (higher in literal) but small effect
prt_per_cl,0.3032457967441562,0.00032068060568613937,0.0003754960768525461,Significant (higher in metaphorical) but small effect
tmod_per_cl,0.14722097407062235,0.0619206441132946,0.4039168130984774,Not significant
xcomp_per_cl,-0.03855736304292616,0.6417142232597668,0.19596532823031543,Not significant
xsubj_per_cl,0.0,,,Not significant
advmod_per_cl,0.2937973590699213,0.00016990443583138681,0.0001541980775345134,Significant (higher in metaphorical) but small effect
aux_per_cl,0.05752661745860624,0.4828674674101725,0.9684975864980885,Not significant
auxpass_per_cl,-0.3741220944135394,2.048511355326958e-06,4.1455040918013174e-07,Significant (higher in literal) but small effect
modal_per_cl,-0.30212669630068056,0.00024055682332730654,5.874483460032967e-06,Significant (higher in literal) but small effect
acad_av_lemma_freq,0.0919758000549058,0.21956813242334877,0.15657842290862717,Not significant
acad_av_construction_freq,-0.16828393433977323,0.04282852664442867,0.006071446275646802,Significant (higher in literal) but small effect
acad_av_lemma_construction_freq,0.16668242223543,0.03113571765013531,0.024209802175923417,Significant (higher in metaphorical) but small effect
acad_av_approx_collexeme,-0.02580456710294806,0.7534453353769455,0.053722705761454666,Not significant
acad_av_faith_verb_cue,-0.22197193988286557,0.004320701016443562,0.0010737015399909552,Significant (higher in literal) but small effect
acad_av_faith_const_cue,0.011344160233248624,0.8938366568893886,0.39292513994400635,Not significant
