Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
BNC_Spoken_Range_AW,0.16649511608319195,0.02088887212624577,0.038754532307534596,Significant (higher in metaphorical) but small effect
BNC_Written_Freq_CW,-0.035698215304557884,0.6244885038728185,0.6703677332076112,Not significant
BNC_Written_Freq_CW_Log,-0.17896205208526972,0.016637877449813186,0.012579214646642115,Significant (higher in literal) but small effect
BNC_Written_Range_CW,-0.07783483019818732,0.2865595651539951,0.28781504947350245,Not significant
BNC_Spoken_Freq_CW,0.03762790695016434,0.5940591582209578,0.6459485280027435,Not significant
BNC_Spoken_Freq_CW_Log,-0.0008697731294430742,0.9901312924823686,0.8896629500360961,Not significant
BNC_Spoken_Range_CW,0.1379194417574686,0.05049685329477363,0.07312932703748572,Not significant
BNC_Written_Freq_FW,-0.18988813416539607,0.009838418193535854,0.007032712282772702,Significant (higher in literal) but small effect
BNC_Written_Freq_FW_Log,-0.2988022188854633,4.7212771727415304e-05,6.891964411119832e-05,Significant (higher in literal) but small effect
BNC_Written_Range_FW,-0.2530790228734047,0.0005941613292905995,0.0008880024465465802,Significant (higher in literal) but small effect
BNC_Spoken_Freq_FW,-0.2619996149233851,0.000374490155458234,0.001110139579113561,Significant (higher in literal) but small effect
BNC_Spoken_Freq_FW_Log,-0.3917138739177836,1.2060169708189908e-07,1.2546963299585708e-06,Significant (higher in literal) but small effect
BNC_Spoken_Range_FW,-0.3102626971796363,6.309970207849384e-05,0.00011441507640412815,Significant (higher in literal) but small effect
BNC_Spoken_Bigram_Normed_Freq,-0.08595068847752038,0.2644815918166621,0.19831000461184,Not significant
BNC_Spoken_Bigram_Normed_Freq_Log,0.19885516744804327,0.010785818471088223,0.01143165155233464,Significant (higher in metaphorical) but small effect
BNC_Written_Bigram_Freq_Normed,-0.12611829906523359,0.09129137683240254,0.05206843955763208,Not significant
BNC_Written_Bigram_Freq_Normed_Log,0.027995184397440878,0.7175173428853833,0.5884500155913313,Not significant
BNC_Spoken_Trigram_Normed_Freq,0.029013093525673175,0.7152907328602945,0.9147877541935132,Not significant
BNC_Spoken_Trigram_Normed_Freq_Log,-0.014718177998938632,0.8539767159560504,0.9281884156968718,Not significant
BNC_Written_Trigram_Freq_Normed,-0.16955495983272195,0.02099525686086416,0.026739255094838064,Significant (higher in literal) but small effect
BNC_Written_Trigram_Freq_Normed_Log,-0.18179778651621503,0.01607584040335924,0.09847761177706527,Not significant
BNC_Spoken_Bigram_Proportion,-0.05549595714741981,0.46855090596025306,0.1520864520957326,Not significant
BNC_Written_Bigram_Proportion,-0.13825642526427134,0.0804740494274198,0.02108604574031365,Significant (higher in literal) but small effect
BNC_Spoken_Trigram_Proportion,-0.008395565782580983,0.9139399898797329,0.521086351859769,Not significant
BNC_Written_Trigram_Proportion,-0.18162849467431047,0.02238936582722147,0.004410755308149084,Significant (higher in literal) but small effect
COCA_Academic_Range_AW,-0.12430825493525112,0.10441227917264091,0.12767430215138048,Not significant
COCA_Academic_Frequency_AW,-0.10527153069437821,0.16187966416254626,0.16960697137662262,Not significant
COCA_Academic_Range_Log_AW,-0.2861969210785953,0.0001696680216828734,0.00018676424581586722,Significant (higher in literal) but small effect
COCA_Academic_Frequency_Log_AW,-0.32337999169204634,4.5547711592840834e-05,4.914730410252177e-05,Significant (higher in literal) but small effect
COCA_Academic_Range_CW,-0.17179967329532603,0.01871600402023166,0.018252910170744967,Significant (higher in literal) but small effect
COCA_Academic_Frequency_CW,-0.05135287480114234,0.48066628008264844,0.5127907522837232,Not significant
COCA_Academic_Range_Log_CW,-0.3577293361745596,2.0687185809154023e-06,6.019434872104243e-07,Significant (higher in literal) but small effect
COCA_Academic_Frequency_Log_CW,-0.3778406335163005,4.542202563649649e-07,1.5392516690472247e-07,Significant (higher in literal) but small effect
COCA_Academic_Range_FW,-0.278451922700925,0.00016543413365557405,0.00011924772663770262,Significant (higher in literal) but small effect
COCA_Academic_Frequency_FW,-0.19827900660693695,0.007030866794992567,0.005285007536379516,Significant (higher in literal) but small effect
COCA_Academic_Range_Log_FW,-0.2756941279213394,0.00019873448725949512,0.00015972991872277906,Significant (higher in literal) but small effect
COCA_Academic_Frequency_Log_FW,-0.29655129152184634,5.77148694422285e-05,8.142908865503149e-05,Significant (higher in literal) but small effect
COCA_fiction_Range_AW,0.19322597719866724,0.008223316263516316,0.012627167183484788,Significant (higher in metaphorical) but small effect
COCA_fiction_Frequency_AW,-0.027690242460448898,0.7113474361250509,0.7853158146749548,Not significant
COCA_fiction_Range_Log_AW,0.15565105509975202,0.03249655515935884,0.0437840696413348,Significant (higher in metaphorical) but small effect
COCA_fiction_Frequency_Log_AW,0.15609795720014064,0.03298779621525522,0.049510344263126164,Significant (higher in metaphorical) but small effect
COCA_fiction_Range_CW,0.19825165861921334,0.005784715426879148,0.009083910794778521,Significant (higher in metaphorical) but small effect
COCA_fiction_Frequency_CW,0.20343748202859419,0.004517405926886038,0.005026497583671578,Significant (higher in metaphorical) but small effect
COCA_fiction_Range_Log_CW,0.13923797836214583,0.05471995946527734,0.04927602293361937,Significant (higher in metaphorical) but small effect
COCA_fiction_Frequency_Log_CW,0.16535467352693795,0.02160497917212003,0.027679332766271037,Significant (higher in metaphorical) but small effect
COCA_fiction_Range_FW,-0.2602953888094703,0.0006007012699194196,0.001418763543760744,Significant (higher in literal) but small effect
COCA_fiction_Frequency_FW,-0.17781341550996171,0.015418352205524774,0.014063598789774109,Significant (higher in literal) but small effect
COCA_fiction_Range_Log_FW,-0.1951459842589543,0.012829095645966265,0.04463786467434134,Significant (higher in literal) but small effect
